,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
112,Zuénoula,39,CI,1586662603,84,7.43,-6.04,74.79,3.33
113,Tuktoyaktuk,20,CA,1586662603,77,69.45,-133.04,6.8,10.29
114,Nago,90,JP,1586662324,77,26.59,127.98,66.2,20.8
115,Tiksi,94,RU,1586662603,90,71.69,128.87,6.48,19.98
116,Bengkulu,45,ID,1586662603,62,-3.8,102.27,88.03,3.83
117,Haines Junction,0,CA,1586662603,72,60.75,-137.51,30.22,2.66
118,Tasiilaq,99,GL,1586662603,58,65.61,-37.64,26.6,17.22
119,Esperance,100,AU,1586662603,16,-33.87,121.9,95.0,20.8
120,Necochea,95,AR,1586662603,89,-38.55,-58.74,59.0,3.0
121,Atar,0,MR,1586662603,22,20.52,-13.05,77.05,11.99
122,Port-Cartier,20,CA,1586662603,54,50.03,-66.87,32.0,5.82
123,Xambioá,100,BR,1586662603,91,-6.41,-48.54,74.12,1.16
124,Thompson,90,CA,1586662603,78,55.74,-97.86,15.8,12.75
125,Riverton,75,US,1586662603,81,40.52,-111.94,57.2,9.17
126,Kibala,99,TD,1586662604,78,9.11,18.35,73.4,3.51
127,Hithadhoo,15,MV,1586662340,67,-0.6,73.08,84.51,7.9
128,Verkhnyaya Sinyachikha,89,RU,1586662604,80,57.98,61.67,40.8,5.39
129,Fare,60,PF,1586662604,70,-16.7,-151.02,83.44,10.96
130,Viedma,100,AR,1586661746,55,-40.81,-63.0,52.57,5.19
131,Zambezi,29,ZM,1586662012,71,-13.54,23.1,62.51,4.43
132,Puerto Escondido,92,MX,1586662604,73,15.85,-97.07,79.3,3.71
133,Tuatapere,32,NZ,1586662604,51,-46.13,167.68,72.0,11.99
134,Zaozyornoye,0,UA,1586662604,66,45.16,33.28,45.19,8.46
135,Castro,32,BR,1586662604,73,-24.79,-50.01,55.18,5.53
136,Nālūt,0,LY,1586662306,29,30.33,10.85,61.56,12.71
137,Padang,48,ID,1586662308,61,-0.95,100.35,87.93,1.23
138,Severo-Kuril'sk,70,RU,1586661724,95,50.68,156.12,31.15,7.27
139,Kahului,40,US,1586662005,61,20.89,-156.47,80.6,12.75
140,San Cristobal,65,VE,1586662604,61,7.77,-72.22,68.31,2.24
141,Dikson,100,RU,1586662605,96,73.51,80.55,14.99,9.95
142,Beringovskiy,98,RU,1586661874,94,63.05,179.32,14.68,10.31
143,High Level,75,CA,1586662605,54,58.52,-117.14,28.4,3.36
144,Cidreira,23,BR,1586662605,71,-30.18,-50.21,64.42,3.24
145,Ayagoz,0,KZ,1586662605,43,47.97,80.44,45.61,4.45
146,Katangli,97,RU,1586662605,90,51.71,143.23,34.0,10.49
147,San Policarpo,70,PH,1586662605,65,12.18,125.51,82.42,4.5
148,Eyl,17,SO,1586662605,73,7.98,49.82,82.33,7.11
149,San Lazaro,1,BZ,1586662605,95,18.04,-88.66,74.05,4.0
150,Cravo Norte,100,CO,1586662605,65,6.3,-70.2,83.1,0.47
151,Celestún,0,MX,1586662606,80,20.87,-90.4,80.17,14.14
152,Banda Aceh,60,ID,1586662606,68,5.56,95.32,85.78,4.81
153,Kavaratti,20,IN,1586662606,74,10.57,72.64,86.0,4.7
154,Kirillov,0,RU,1586662606,91,59.86,38.38,26.24,3.56
155,Port Hedland,20,AU,1586662606,46,-20.32,118.57,91.4,13.87
156,Marquette,90,US,1586662606,52,46.53,-87.63,41.0,6.93
157,Bredasdorp,100,ZA,1586662606,64,-34.53,20.04,68.0,14.99
158,Iaciara,100,BR,1586662606,80,-14.1,-46.63,71.11,2.24
159,Bacolod City,4,PH,1586662606,54,10.67,122.95,87.89,2.86
160,Mount Gambier,90,AU,1586662020,67,-37.83,140.77,57.2,9.17
161,Carnarvon,7,AU,1586662606,69,-24.87,113.63,82.4,20.8
162,Sheridan,90,US,1586662607,79,44.83,-106.92,24.8,9.17
163,Tabou,24,CI,1586662607,85,4.42,-7.35,78.3,1.86
164,Sagua de Tánamo,0,CU,1586662607,79,20.58,-75.24,73.09,4.99
165,Gohpur,75,IN,1586662607,73,26.88,93.63,75.2,4.7
166,Olinda,20,BR,1586662607,74,-8.01,-34.86,84.2,4.7
167,Coahuayana Viejo,55,MX,1586662607,78,18.73,-103.68,73.89,3.98
168,Novobiryusinskiy,0,RU,1586662607,58,56.96,97.71,42.76,4.76
169,Abadan,90,TM,1586662607,87,38.05,58.21,51.8,4.7
170,Sulangan,13,PH,1586662607,69,11.14,123.72,82.94,6.55
171,Kavieng,95,PG,1586662010,69,-2.57,150.8,84.36,3.56
172,Waddān,0,LY,1586662607,30,29.16,16.14,60.3,8.84
173,Gambo,100,CF,1586662607,84,4.65,22.26,71.08,1.36
174,Grand Gaube,40,MU,1586662607,83,-20.01,57.66,80.01,14.99
175,Natal,20,BR,1586662010,94,-5.79,-35.21,77.0,3.36
176,Bairiki Village,75,KI,1586662608,70,1.33,172.98,87.8,8.05
177,Iqaluit,90,CA,1586662608,79,63.75,-68.51,23.0,14.99
178,Lyambir',100,RU,1586662608,90,54.28,45.12,31.53,25.21
179,Rafaela,78,AR,1586662608,54,-31.25,-61.49,61.0,1.01
180,Hobyo,22,SO,1586662022,72,5.35,48.53,82.49,8.08
181,Bowen,0,AU,1586662608,36,-20.02,148.23,93.2,5.82
182,Constitución,75,CL,1586662608,81,-35.33,-72.42,52.57,10.02
183,Bac Lieu,16,VN,1586662384,54,9.29,105.72,87.75,8.97
184,Longyearbyen,20,SJ,1586662489,69,78.22,15.64,-9.4,4.81
185,Bubaque,1,GW,1586662522,77,11.28,-15.83,77.97,10.51
186,Andros Town,75,BS,1586662608,83,24.7,-77.77,77.0,11.41
187,Saint-Augustin,75,CA,1586662017,97,51.23,-58.65,27.97,6.42
188,Saint Paul Harbor,90,US,1586662609,86,57.79,-152.41,37.4,20.8
189,Codrington,95,AU,1586662021,59,-38.27,141.97,58.06,10.25
190,Magadan,98,RU,1586662415,90,59.57,150.8,23.67,3.71
191,Singkawang,83,ID,1586662609,61,0.9,109.0,87.26,4.14
192,Jamestown,1,US,1586662465,55,42.1,-79.24,39.0,5.82
193,Clyde River,75,CA,1586662609,84,70.47,-68.59,1.4,14.99
194,Yuncheng,0,CN,1586662609,24,35.02,110.99,62.29,5.86
195,Lieksa,35,FI,1586662609,92,63.32,30.02,24.91,4.94
196,Ponta do Sol,20,PT,1586662609,77,32.67,-17.1,60.8,6.93
197,Saint-Pierre,18,RE,1586662609,73,-21.34,55.48,75.99,6.93
198,Manāsa,0,IN,1586662609,20,24.48,75.27,88.14,7.94
199,Cabo San Lucas,40,MX,1586662609,60,22.89,-109.91,68.0,11.41
200,Saint-Philippe,22,RE,1586662609,73,-21.36,55.77,75.99,6.93
201,Twin Falls,1,US,1586662610,31,42.56,-114.46,52.0,28.86
202,Shīeli,100,KZ,1586662610,74,44.17,66.75,58.53,5.53
203,Belaya Gora,100,RU,1586662020,98,68.53,146.42,30.79,6.91
204,Terrace,20,CA,1586662447,26,54.52,-128.6,48.2,8.05
205,Sibolga,82,ID,1586662610,57,1.74,98.78,89.02,0.76
206,Arona,40,ES,1586662610,68,28.1,-16.68,66.2,11.41
207,Soyo,100,AO,1586662610,85,-6.13,12.37,80.47,3.24
208,Half Moon Bay,90,US,1586662610,87,37.46,-122.43,57.0,3.36
209,Belyy Yar,0,RU,1586662611,52,53.6,91.39,42.8,11.18
210,Dongying,0,CN,1586662611,28,37.46,118.49,61.83,19.69
211,Karaton,40,ID,1586662611,62,-6.34,106.1,89.01,5.82
212,Nikolskoye,6,RU,1586662611,92,59.7,30.79,23.0,2.24
213,Sturgis,90,US,1586662611,73,41.8,-85.42,55.4,3.36
214,Tessalit,0,ML,1586662471,14,20.2,1.01,77.38,4.32
215,Kudahuvadhoo,0,MV,1586662611,66,2.67,72.89,84.38,5.19
216,Quang Ngai,91,VN,1586662611,74,15.12,108.8,82.76,4.29
217,Sola,95,VU,1586662611,72,-13.88,167.55,81.48,11.88
218,San Patricio,0,MX,1586662611,63,19.22,-104.7,75.4,11.83
219,Soure,100,BR,1586662611,87,-0.72,-48.52,79.56,6.29
220,Nizwá,32,OM,1586662611,37,22.93,57.53,74.79,1.77
221,Port Alfred,37,ZA,1586662612,66,-33.59,26.89,69.01,1.99
222,Fukuechō,75,JP,1586662612,76,32.69,128.84,55.4,14.99
223,Vila Franca do Campo,20,PT,1586662612,82,37.72,-25.43,57.2,12.75
224,Westport,1,US,1586662347,33,41.14,-73.36,51.01,5.82
225,Upernavik,100,GL,1586662612,86,72.79,-56.15,20.37,2.3
226,Naze,75,JP,1586662612,82,28.37,129.48,66.2,17.22
227,Provideniya,100,RU,1586662612,93,64.38,-173.3,32.54,6.29
228,Urengoy,100,RU,1586662612,95,65.97,78.37,23.72,8.25
229,Beloha,100,MG,1586662612,73,-25.17,45.05,71.31,6.82
230,Eloy,1,US,1586662486,62,32.76,-111.55,61.0,5.82
231,Livingston,75,GB,1586662374,81,55.9,-3.52,50.0,8.05
232,Kaili,51,ID,1586662613,66,-3.46,120.21,76.89,2.62
233,Bangassou,100,CF,1586662613,84,4.74,22.82,69.69,0.74
234,Mazagão,75,BR,1586662613,100,-0.12,-51.29,78.8,3.36
235,Kaoma,95,ZM,1586662613,68,-14.78,24.8,62.04,3.62
236,Voh,79,NC,1586662613,67,-20.97,164.7,81.73,5.46
237,Emporia,40,US,1586662613,77,38.4,-96.18,66.0,13.87
238,Birao,84,CF,1586662613,43,10.28,22.79,74.05,3.36
239,Lompoc,90,US,1586662613,81,34.64,-120.46,60.01,9.17
240,Tevriz,57,RU,1586662613,79,57.51,72.4,42.66,3.44
241,Norrköping,100,SE,1586662613,87,58.59,16.18,44.6,9.17
242,Salem,0,IN,1586662514,51,11.65,78.17,81.91,0.16
243,Klaksvík,99,FO,1586662614,69,62.23,-6.59,35.6,29.97
244,Laguna,1,US,1586662569,82,38.42,-121.42,62.01,8.05
245,Kandrian,48,PG,1586662614,79,-6.22,149.55,84.61,8.12
246,Teixoso,51,PT,1586662614,95,40.31,-7.46,55.0,1.61
247,Comodoro Rivadavia,3,AR,1586662614,57,-45.87,-67.5,51.8,3.36
248,Palu,0,ID,1586662607,41,-0.89,119.87,89.96,3.02
249,Lagoa,0,PT,1586662614,78,39.05,-27.98,60.85,10.2
250,Province of Groningen,42,NL,1586662438,86,53.25,6.75,48.99,2.24
251,Margate,17,GB,1586662614,93,51.38,1.39,54.0,5.82
252,Nový Malín,5,CZ,1586662614,60,49.94,17.03,42.01,7.0
253,Katsuura,75,JP,1586662615,66,35.13,140.3,59.0,9.17
254,Luwingu,97,ZM,1586662615,65,-10.26,29.93,60.67,5.41
255,Kuytun,21,RU,1586662615,55,54.34,101.5,39.76,5.57
256,Gizo Government Station,87,SB,1586662615,75,-8.1,156.84,84.13,4.68
257,Coquimbo,76,CL,1586662615,82,-29.95,-71.34,59.0,3.36
258,Podgornoye,75,RU,1586662615,63,51.73,39.15,30.2,15.66
259,Salalah,75,OM,1586662375,74,17.02,54.09,82.4,11.41
260,Ouro Preto do Oeste,99,BR,1586662615,89,-10.75,-62.22,73.67,0.2
261,Bathsheba,40,BB,1586662615,69,13.22,-59.52,80.6,16.11
262,Morant Bay,20,JM,1586662615,74,17.88,-76.41,82.4,4.7
263,Hanna,8,CA,1586662615,74,51.63,-111.9,19.0,3.0
264,Camacha,75,PT,1586662615,82,33.08,-16.33,60.8,13.87
265,Foumban,94,CM,1586662615,63,5.73,10.9,61.16,0.69
266,Asău,14,RO,1586662018,57,46.43,26.4,37.0,3.36
267,Xining,86,CN,1586662616,16,36.62,101.77,47.75,2.62
268,Samarina,98,RU,1586662616,86,57.89,27.81,28.4,4.47
269,Urusha,0,RU,1586662616,49,54.05,122.9,52.05,0.81
270,Hamilton,1,US,1586662616,61,39.18,-84.53,53.6,6.26
271,Buraidah,0,SA,1586662616,48,26.33,43.98,62.6,12.75
272,Muros,90,ES,1586662018,93,42.78,-9.06,55.0,5.97
273,Riyadh,75,SA,1586662490,28,24.69,46.72,71.6,8.05
274,Arlit,23,NE,1586662616,14,18.74,7.39,80.37,8.68
275,Rocha,0,UY,1586662616,86,-34.48,-54.33,55.47,4.43
276,Sabha,0,LY,1586662018,26,27.04,14.43,65.59,15.32
277,Kirkwall,100,GB,1586662342,81,58.98,-2.96,44.6,17.22
278,Banff,88,CA,1586662617,71,51.18,-115.57,15.01,1.01
279,Dicabisagan,11,PH,1586662617,70,17.08,122.42,82.98,1.5
280,Panabá,0,MX,1586662617,76,21.28,-88.27,77.81,11.99
281,Cap Malheureux,40,MU,1586662617,83,-19.98,57.61,80.01,14.99
282,Luancheng,0,CN,1586662617,12,37.88,114.65,71.6,8.95
283,Ouallam,0,NE,1586662617,22,14.32,2.09,81.46,5.64
284,Kapuskasing,75,CA,1586662617,64,49.42,-82.43,35.6,5.82
285,São Gabriel da Cachoeira,100,BR,1586662617,96,-0.13,-67.09,74.39,2.13
286,Zhigansk,71,RU,1586662617,92,66.77,123.37,25.92,15.61
287,Nuuk,100,GL,1586662617,90,64.18,-51.72,35.6,12.75
288,Båtsfjord,99,NO,1586662617,92,70.63,29.72,22.12,6.67
289,Husavik,90,IS,1586662617,74,66.04,-17.34,30.2,19.46
290,Srednekolymsk,33,RU,1586662618,97,67.45,153.68,30.49,10.67
291,Gazalkent,90,UZ,1586662618,93,41.56,69.77,57.2,2.24
292,Pyu,100,MM,1586662618,29,18.48,96.43,92.7,7.36
293,Conceição do Araguaia,98,BR,1586662618,84,-8.26,-49.26,75.31,2.1
294,Dunedin,100,NZ,1586662618,62,-45.87,170.5,64.0,1.99
295,Kralendijk,4,BQ,1586662618,83,12.15,-68.27,80.6,17.22
296,Nador,75,MA,1586662596,87,35.17,-2.93,60.8,4.7
297,Tomari,79,RU,1586662618,79,47.77,142.07,36.75,8.39
298,Bridlington,45,GB,1586662457,93,54.08,-0.19,51.01,2.24
299,Fenoarivo,40,MG,1586662619,93,-18.93,47.44,60.8,5.82
300,Palmer,1,US,1586662619,41,42.16,-72.33,39.99,6.93
301,Lorengau,51,PG,1586662619,71,-2.02,147.27,84.81,2.98
302,Paka,40,MY,1586662619,74,4.64,103.44,87.8,2.24
303,Ponta Delgada,20,PT,1586662619,82,37.73,-25.67,57.2,12.75
304,Rapid Valley,90,US,1586662619,85,44.06,-103.15,26.6,16.11
305,Cabinda,97,AO,1586662619,86,-5.55,12.2,80.31,5.17
306,Câmara de Lobos,20,PT,1586662619,77,32.63,-16.97,60.8,6.93
307,Santa Isabel,75,BR,1586662589,82,-23.32,-46.22,63.0,4.7
308,Praia,23,CV,1586662619,78,14.92,-23.51,73.4,8.05
309,Mana,97,GF,1586662619,83,5.66,-53.78,76.8,8.59
310,Sinnamary,100,GF,1586661933,79,5.38,-52.95,78.96,13.06
311,Yulara,60,AU,1586662020,11,-25.24,130.99,89.6,6.93
312,Oodweyne,49,SO,1586662619,49,9.41,45.06,71.69,9.26
313,Ixtapa,20,MX,1586662022,73,20.7,-105.2,75.2,4.7
314,Zhanakorgan,100,KZ,1586662620,74,43.91,67.25,59.38,10.74
315,Vestmannaeyjar,100,IS,1586662620,83,63.44,-20.27,41.76,14.27
316,Tiarei,100,PF,1586662620,66,-17.53,-149.33,86.0,4.7
317,Rassvet,48,RU,1586662620,69,46.83,40.75,39.85,10.07
318,Barcelos,94,PT,1586662620,100,41.54,-8.62,53.01,2.24
319,Potsdam,90,DE,1586662620,69,52.4,13.07,46.0,1.12
320,Norman Wells,75,CA,1586662620,46,65.28,-126.83,28.4,4.7
321,Pervomays'k,0,UA,1586662382,74,48.04,30.85,36.66,5.53
322,Yeniseysk,0,RU,1586662620,65,58.45,92.17,41.85,4.59
323,Tommot,100,RU,1586662621,80,58.96,126.29,37.13,8.32
324,Morón,25,AR,1586662444,100,-34.65,-58.62,64.99,4.7
325,Yangambi,62,CD,1586662621,87,0.81,24.43,70.63,1.48
326,Port Pirie,42,AU,1586662621,51,-33.18,138.02,62.6,9.17
327,Salina Cruz,67,MX,1586662621,79,16.17,-95.2,81.82,7.43
328,Storforshei,100,NO,1586662621,92,66.4,14.52,27.61,6.85
329,Merauke,76,ID,1586662621,71,-8.47,140.33,86.23,6.51
330,Vila do Maio,46,CV,1586662621,78,15.13,-23.22,73.4,8.05
331,Sooke,1,CA,1586662621,54,48.37,-123.73,52.0,3.36
332,Marshall,1,US,1586662621,66,34.38,-86.33,59.0,4.7
333,Greeley,1,US,1586662622,28,40.42,-104.71,60.8,20.8
334,Şile,0,TR,1586662622,79,41.18,29.61,45.0,7.87
335,Csanádpalota,0,HU,1586662622,69,46.25,20.73,37.4,1.12
336,Eureka,75,US,1586662539,76,40.8,-124.16,52.0,8.03
337,Kaitangata,86,NZ,1586662622,62,-46.28,169.85,64.0,1.99
338,Guerrero Negro,7,MX,1586662622,71,27.98,-114.06,61.11,19.04
339,Qandala,8,SO,1586662622,64,11.47,49.87,82.81,10.02
340,Bud,90,US,1586662477,61,39.45,-86.18,55.0,13.87
341,Forsytheganj,72,BY,1586662622,79,52.63,29.73,32.47,4.59
342,Novyy Svit,5,UA,1586662622,72,47.81,38.02,37.83,11.39
343,Cap-aux-Meules,20,CA,1586662622,95,47.38,-61.86,32.0,8.05
344,Pemberton,0,CA,1586662454,61,50.32,-122.8,38.23,4.27
345,Ekibastuz,97,KZ,1586662622,47,51.67,75.37,47.71,17.94
346,Muş Province,0,TR,1586662622,45,39.0,41.75,33.58,3.96
347,Tateyama,75,JP,1586662623,76,34.98,139.87,59.0,17.22
348,Nome,90,US,1586662623,92,64.5,-165.41,30.2,10.29
349,Bonavista,45,CA,1586662623,85,48.65,-53.11,33.01,14.0
350,Miandrivazo,68,MG,1586662623,76,-19.52,45.47,75.6,2.77
351,Siocon,0,PH,1586662623,65,7.71,122.14,82.71,7.61
352,Chiang Mai,93,TH,1586662355,40,18.79,98.98,97.0,4.7
353,Jinchang,77,CN,1586662623,17,38.5,102.17,51.28,10.6
354,Víctor Rosales,75,MX,1586662623,34,22.95,-102.7,64.4,11.41
355,Miranda,75,CO,1586662624,88,3.25,-76.23,73.4,2.24
356,Bonnyville,20,CA,1586662575,49,54.27,-110.73,24.8,9.17
357,Sarana,100,RU,1586662624,82,56.48,57.73,37.35,6.08
358,Atambua,69,ID,1586662624,71,-9.11,124.89,79.93,5.14
359,Darhan,100,MN,1586662624,24,49.49,105.92,56.86,11.36
360,Ardakān,20,IR,1586662624,62,32.31,54.02,59.0,4.7
361,San Miguel de Tucumán,24,AR,1586662624,82,-26.82,-65.22,66.2,4.7
362,Greer,1,US,1586662536,55,34.94,-82.23,54.0,3.36
363,Bousso,100,TD,1586662624,42,10.48,16.71,78.98,3.6
364,Dunmore East,100,IE,1586662624,62,52.15,-6.99,51.01,1.01
365,Oranjemund,50,NA,1586662625,92,-28.55,16.43,57.96,0.81
366,Wufeng,98,CN,1586662625,46,27.45,104.83,46.4,4.36
367,Severnoye,86,RU,1586662625,83,56.35,78.36,36.21,6.82
368,Departamento de Maldonado,24,UY,1586662625,87,-34.67,-54.92,59.0,5.82
369,Compiègne,67,FR,1586662625,62,49.42,2.83,55.0,1.79
370,Pec,0,XK,1586662625,64,42.66,20.29,39.2,2.24
371,Goderich,83,CA,1586662625,72,43.75,-81.72,43.0,13.82
372,Okakarara,93,NA,1586662625,50,-20.58,17.43,63.18,3.04
373,Nassau,1,US,1586662625,39,40.75,-73.58,51.01,10.63
